snap,t,x,Re_psi
ic,0.0,-16.0,1.962369931566407e-15
ic,0.0,-15.5,1.4053941518605238e-14
ic,0.0,-15.0,9.455227834818842e-14
ic,0.0,-14.5,5.975887997367002e-13
ic,0.0,-14.0,3.548048069125306e-12
ic,0.0,-13.5,1.97894231887333e-11
ic,0.0,-13.0,1.0368916364158061e-10
ic,0.0,-12.5,5.103759508026144e-10
ic,0.0,-12.0,2.359954486817901e-09
ic,0.0,-11.5,1.0251175004552924e-08
ic,0.0,-11.0,4.1831194186193646e-08
ic,0.0,-10.5,1.603553569766124e-07
ic,0.0,-10.0,5.774618234350888e-07
ic,0.0,-9.5,1.9535281679340302e-06
ic,0.0,-9.0,6.208299678206336e-06
ic,0.0,-8.5,1.8534559206243512e-05
ic,0.0,-8.0,5.198145678119513e-05
ic,0.0,-7.5,0.00013695289774388487
ic,0.0,-7.0,0.0003389616772814306
ic,0.0,-6.5,0.000788109511843699
ic,0.0,-6.0,0.001721389434780508
ic,0.0,-5.5,0.0035320617854593733
ic,0.0,-5.0,0.006808227284581797
ic,0.0,-4.5,0.012328106978198222
ic,0.0,-4.0,0.020970816393230347
ic,0.0,-3.5,0.03351126917458733
ic,0.0,-3.0,0.050306370980090706
ic,0.0,-2.5,0.07094277994500098
ic,0.0,-2.0,0.09393269716883434
ic,0.0,-1.5,0.11524443293673238
ic,0.0,-1.0,0.1157760841126891
ic,0.0,-0.5,0.05620241018319064
ic,0.0,0.0,0.0
ic,0.0,0.5,0.05620241018319064
ic,0.0,1.0,0.1157760841126891
ic,0.0,1.5,0.11524443293673238
ic,0.0,2.0,0.09393269716883434
ic,0.0,2.5,0.07094277994500098
ic,0.0,3.0,0.050306370980090706
ic,0.0,3.5,0.03351126917458733
ic,0.0,4.0,0.020970816393230347
ic,0.0,4.5,0.012328106978198222
ic,0.0,5.0,0.006808227284581797
ic,0.0,5.5,0.0035320617854593733
ic,0.0,6.0,0.001721389434780508
ic,0.0,6.5,0.000788109511843699
ic,0.0,7.0,0.0003389616772814306
ic,0.0,7.5,0.00013695289774388487
ic,0.0,8.0,5.198145678119513e-05
ic,0.0,8.5,1.8534559206243512e-05
ic,0.0,9.0,6.208299678206336e-06
ic,0.0,9.5,1.9535281679340302e-06
ic,0.0,10.0,5.774618234350888e-07
ic,0.0,10.5,1.603553569766124e-07
ic,0.0,11.0,4.1831194186193646e-08
ic,0.0,11.5,1.0251175004552924e-08
ic,0.0,12.0,2.359954486817901e-09
ic,0.0,12.5,5.103759508026144e-10
ic,0.0,13.0,1.0368916364158061e-10
ic,0.0,13.5,1.97894231887333e-11
ic,0.0,14.0,3.548048069125306e-12
ic,0.0,14.5,5.975887997367002e-13
ic,0.0,15.0,9.455227834818842e-14
ic,0.0,15.5,1.4053941518605238e-14
t001,0.01,-16.0,0.01827215860484667
t001,0.01,-15.5,-0.0129202784050534
t001,0.01,-15.0,-0.00482619398653468
t001,0.01,-14.5,0.012632567331816086
t001,0.01,-14.0,0.021779131786820727
t001,0.01,-13.5,-0.0020173550946385246
t001,0.01,-13.0,-0.0249698276067647
t001,0.01,-12.5,0.06058834364856243
t001,0.01,-12.0,0.016447978327601323
t001,0.01,-11.5,-0.03722356045500311
t001,0.01,-11.0,0.003146071416554229
t001,0.01,-10.5,0.0008018235219224221
t001,0.01,-10.0,0.026483399334782106
t001,0.01,-9.5,-0.0025265822699903975
t001,0.01,-9.0,0.01784685098437439
t001,0.01,-8.5,0.029526820713297788
t001,0.01,-8.0,-0.03726154681790765
t001,0.01,-7.5,0.0417345929789613
